,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
500106936,14000,1,4,2,41,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106882,35000,2,4,1,32,-1,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106814,14000,1,4,2,36,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106657,7000,1,4,2,24,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106623,14000,1,4,1,46,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107413,14000,1,4,2,34,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107281,35000,2,4,1,44,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107202,21000,2,4,2,32,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107142,14000,2,4,2,34,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107092,14000,2,4,2,49,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107923,10500,1,4,2,62,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107876,35000,1,4,3,62,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107802,21000,2,4,2,44,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107745,35000,1,4,1,34,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107642,21000,2,4,2,57,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107593,14000,1,4,2,25,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500008212,10500,1,4,2,31,-1,5,3,2,1,-1,0,258.98,204.98,151.07,97.22,43.41,258.98,NULL,NULL,NULL,NULL,397,0
500008242,10500,1,4,2,38,-1,-1,-1,-1,-1,-1,0,250.9,256.82,265.62,269.15,276.67,3861.15,260,270,270,300,280,0
500008432,4900,1,4,2,31,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4721.9,253.29,268.56,267.63,251.27,262.57,0
500008747,10000,1,4,1,54,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,8050.4,468.31,481.14,500.25,508.01,522.07,0
500009253,35000,2,4,2,30,-1,-1,-1,-1,-1,-1,0,0,17.92,416.63,200.21,333.56,NULL,22018,26317,201,8835,NULL,0
500009991,35000,2,4,2,37,-1,-1,-1,-1,-1,-1,0,32.08,1760.59,1883.68,1866.12,1873.54,32.09,34436.77,2000,1867,1874,1803,0
500010174,9000,2,4,2,43,-1,-1,-1,-1,-1,-1,0,0,69.48,86.62,0,472.88,NULL,400.49,400,400,8000,469.66,0
500010406,10000,2,4,2,40,-1,-1,-1,-1,-1,-1,57.51,0,83.11,247.71,251.14,257.29,NULL,136.45,3968.94,252,258,260,0
500010697,14000,1,4,2,40,-1,-1,1,-1,2,1,0,56.13,125.13,68.11,546.35,406.01,117.31,126,NULL,4706.77,NULL,NULL,0
500025952,35000,2,4,2,30,-1,-1,-1,-1,-1,-1,108.29,21.36,1386.42,1445.87,1485,1532.59,22,34457.23,3946,2985,2533,2402,0
500025902,7960,2,4,2,39,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,NULL,NULL,NULL,55000,131.56,1283.13,0
500025753,35000,1,4,2,41,-1,-1,-1,-1,-1,-1,0,0,0,957.6,0,368.57,NULL,NULL,35958,NULL,14370,14017,0
500026624,35000,1,4,1,62,-1,-1,-1,-1,-1,-1,0,453.25,884.97,0,0,0,37953.25,31900,NULL,35000,35200,35000,0
500027073,35000,1,4,2,50,-1,-1,-1,-1,-1,-1,0,0,0,943.26,0,1324.25,NULL,NULL,23450,6502,12826.95,1056,0
500027254,5000,1,4,2,36,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,39.58,39.58,39.58,39.58,39.58,39.58,0
500027403,35000,2,4,2,54,-1,-1,-1,-1,-1,-1,91.16,86.75,86.5,87.25,87.01,86.76,87,87,88,87.01,87,87,0
500027712,21000,1,4,1,53,-1,-1,-1,-1,-1,-1,0,0,942.23,986.65,921.98,908.77,NULL,21273.8,988,922,910,857,0
500040382,9000,2,4,2,30,-1,-1,-1,-1,-1,-1,0,64.86,64.88,64.9,64.92,64.94,64.86,65,65,65,65,65,0
500040362,14000,2,4,2,31,-1,-1,-1,-1,-1,-1,0,15.47,105.61,0,134.72,20.87,NULL,10210,9210,11670,12150,4326,0
500041037,1400,2,4,2,25,-1,-1,-1,-1,-1,-1,0,0,216.75,120.82,107.12,102.96,NULL,95.93,1474.67,110,110,200,0
500040824,30000,2,4,1,46,-1,-1,-1,-1,-1,-1,69.56,0,16.27,65.97,0,0,49,84.35,11000,66,65.97,65.94,0
500040661,2000,2,4,2,56,-1,-1,-1,-1,-1,-1,0,0,113.74,116.45,117.31,119.16,NULL,1659.9,117,118,120,120,0
500041356,14000,2,4,2,31,-1,-1,-1,-1,-1,-1,0,15.26,0,672.12,527.26,434.39,15.26,NULL,14596.81,528,1435,404,0
500041271,24500,2,4,2,48,-1,-1,-1,-1,-1,-1,0,1148.89,1145.26,1160.27,1146.32,1130.79,25029.84,1146,1161,1147,1131,1104,0
500041527,9000,2,4,2,27,-1,-1,-1,-1,-1,-1,0,398.71,376.34,389.18,393.16,401.86,8796.92,378,390,394,402,401,0
500041833,7000,2,4,2,45,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1250,1092.36,174,54.09,615.37,39.1,0
500041787,2100,2,4,2,43,-1,-1,-1,-1,-1,-1,50.49,0,39.4,0,46.46,46.47,NULL,86,NULL,100,46.47,46.46,0
500042386,21000,1,4,1,46,-1,-1,-1,-1,-1,-1,0,0,1507.14,996.62,1123.17,666.66,NULL,21795,1508,NULL,1123.2,133,0
500053972,2000,1,4,2,31,-1,-1,2,1,-1,-1,0,0,136.67,90.27,43.91,0,NULL,183.2,NULL,NULL,NULL,188,0
500054702,28000,1,4,1,47,-1,-1,-1,-1,-1,1,16.03,0,0,16.47,74.1,149.4,28000,28016,28080,28075,150,NULL,0
500054853,14000,2,4,2,35,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,74.6,70.43,70.43,70.43,70.43,70.43,0
500054833,20000,1,4,2,34,-1,-1,-1,-1,-1,-1,0,0,892.05,866.11,645.77,235.5,10000,20893,867,646,235.5,10450,0
500054823,21000,1,4,2,37,-1,-1,-1,-1,-1,-1,22.89,843.75,863.69,895.92,905.11,926.66,17989.66,864,896,906,928,924,0
500055132,21000,2,4,2,46,-1,-1,-1,-1,-1,-1,573.53,16.31,15.74,15.77,15.74,16.23,20139.59,20044.46,20068.82,18066,16087.03,20070,0
500055087,14000,1,4,2,29,-1,-1,-1,-1,-1,-1,76.29,72.25,72.61,72.71,16.37,0,75,80,73,17,70,271,0
500055304,21000,2,4,2,39,-1,-1,-1,-1,-1,-1,0,0,839.48,870.73,880.31,905.3,NULL,NULL,18760.14,880.31,1000,1000,0
500055826,35000,1,4,2,40,-1,-1,-1,-1,-1,-1,16.79,282.12,1326.53,833.48,83.51,15.73,22282.12,29870.4,834,84,16,15231.4,0
