,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
68,10000,2,4,2,26,-1,-1,-1,-1,-1,-1,0,66.01,0,451.47,464.68,279.08,132.1,0,9183.3,1050,1100,0,0
69,35000,1,4,2,43,-1,-1,-1,-1,-1,-1,0,0,0,21.07,0,0,15150,5900,28338.11,35100,35960.44,35070,0
70,21000,1,4,1,39,-1,-1,-1,-1,0,0,867.62,891.34,517.3,0,0,0,971,971,971,0,0,0,0
71,25000,2,4,1,52,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,14000,1,4,2,20,-1,-1,0,0,0,0,662.23,398.59,0,0,0,0,400,0,0,0,0,0,0
73,21000,2,4,2,60,-1,-1,0,0,0,0,971.31,573.59,0,0,0,0,575,0,0,0,0,0,0
74,21000,1,4,2,25,-1,-1,0,0,0,0,945.9,573.59,0,0,0,0,1150,0,0,0,0,0,0
75,10000,2,4,2,34,-1,-1,0,0,0,0,485.67,298.59,0,0,0,0,299,0,0,0,0,0,0
76,7000,1,4,3,35,-1,-1,0,0,0,0,353.06,223.59,0,0,0,0,230,0,0,0,0,0,0
77,2000,2,4,2,32,-1,-1,0,0,0,0,45.52,44.17,0,0,0,0,45,0,0,0,0,0,0
78,14000,2,4,2,20,-1,-1,0,0,0,0,703.09,398.59,0,0,0,0,399,0,0,0,0,0,0
79,14000,2,4,2,53,-1,-1,0,0,0,0,59.43,0,0,0,0,0,0,0,0,0,0,0,0
80,5000,1,4,2,19,-1,-1,0,0,0,0,266.67,173.59,0,0,0,0,174,0,0,0,0,0,0
81,14000,1,4,2,22,-1,-1,0,0,0,0,0,0,0,0,0,0,59.43,0,0,0,0,0,0
82,8000,1,4,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,17500,1,4,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,14000,1,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7000,1,4,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,14000,1,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2500,1,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,7000,2,4,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,21000,2,4,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,21000,2,4,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,14000,2,4,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,21000,2,4,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,14000,1,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,21000,1,4,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,21000,1,4,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,21000,1,4,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,21000,1,4,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,14000,1,4,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,7000,1,4,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,14000,1,4,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,14000,1,4,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,4500,2,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,35000,1,4,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,15000,2,4,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2000,2,4,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,17500,1,4,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,14000,1,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,10000,1,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,21000,1,4,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,21000,1,4,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,35000,2,4,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7000,2,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,10250,2,4,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,10000,2,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7000,2,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,28000,1,4,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,4000,1,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3000,1,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,21000,2,4,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7000,2,4,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,34000,1,4,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,35000,2,4,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,13000,1,4,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,14000,2,4,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,10000,2,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,10000,2,4,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,10500,2,4,2,27,-1,-1,-1,-1,-1,-1,0,152.56,298.11,385.57,435.26,440.3,2072.1,3000,2000,1200,500,600,0
128,35000,2,4,2,35,-1,-1,-1,-1,-1,-1,316.05,361.88,399.81,394.1,478.49,0,900,900,395,1000,8000,834,0
129,35000,1,4,1,66,-1,-1,7,6,5,3,0,44.17,459.95,408.24,356.82,273.98,44.17,807.03,0,0,0,0,0
130,10500,1,4,1,54,-1,-1,-1,-1,-1,-1,0,444.43,462.78,470.37,483.59,487.7,8227.65,480,480,490,540,550,0
131,9000,2,4,2,34,-1,-1,-1,-1,-1,-1,0,334.58,349.81,362.08,361.67,350.18,6204.46,400,500,362,400,400,0
132,7000,1,4,2,29,-1,-1,-1,-1,-1,-1,0,182.07,374.78,372.79,370.4,367.16,2685.81,4000,380,371,370,400,0
133,5000,1,4,2,47,-1,-1,1,-1,-1,1,289.91,298.53,203.21,300.45,0,445.36,300,505,300,0,685,0,0
134,10000,2,4,2,23,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,550,1100,550,0,550,0
135,15000,1,4,2,28,-1,-1,-1,-1,-1,-1,0,667.07,694.32,705.4,725.45,718.42,12484.61,695,706,726,718.42,768.96,0
136,28000,2,4,3,45,-1,-1,-1,-1,-1,-1,0,1099.45,1140.39,1153.04,1180.97,1124.31,25819.52,1141,1155,1185,1125,1138,0
137,35000,1,4,1,54,-1,-1,-1,-1,-1,-1,756.87,428.15,144.24,19.75,667.21,0,12000,3945,10020,30612.17,0,10000,0
138,7000,1,4,2,39,-1,-1,-1,-1,-1,-1,60.89,0,184.88,0,0,104.16,1000,5400,0,0,3600,50,0
139,7000,1,4,1,46,-1,-1,-1,-1,-1,-1,16.07,0,252.88,187.13,187.94,186.16,0,6834.68,188,188,200,195.47,0
140,35000,1,4,2,39,-1,-1,-1,-1,-1,-1,0,443.54,554.4,942.16,632,156.83,10444,555,11943,635,157,100,0
141,2800,1,4,2,29,-1,-1,-1,-1,-1,-1,0,134.56,0,0,0,0,3066.29,200,200,139.97,436.23,102.43,0
142,3650,2,4,2,28,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,102.27,115.65,105.6,1000,81.22,65.48,0
143,12000,1,4,2,20,-1,-1,-1,-1,-1,-1,0,566.45,577.54,520.95,517.26,515.32,12574.69,578,521,600,516,560,0
144,28000,2,4,2,34,-1,-1,-1,-1,-1,-1,0,1285.94,1297.95,1191.43,1179.2,1151.13,29262.12,1298,1192,1180,1152,1215,0
145,35000,1,4,2,49,-1,-1,-1,-1,-1,-1,472.22,16.82,85.69,83.44,56.19,0,17,1585,85,60,142,107,0
146,20000,1,4,2,34,-1,-1,-1,-1,-1,-1,0,829.69,859.5,868.69,880.26,865.76,1246.11,859.5,868.69,880.26,865.76,0,0
147,20000,2,4,2,25,-1,-1,-1,-1,-1,-1,0,754.87,784.38,794,813.16,814.8,16978.57,830,820,820,900,879,0
148,7000,2,4,2,30,-1,-1,-1,-1,-1,-1,17.49,328.99,344.77,320.86,291.18,295.06,7050.55,500,400,400,400,400,0
149,7000,1,4,2,48,-1,-1,-1,-1,-1,-1,0,350.7,367.8,348.3,341.78,308.33,6955.1,368,350,342,310,333,0
150,21000,1,4,1,40,-1,-1,-1,-1,-1,-1,0,903,628.37,0,0,0,19906.15,629,50,194.52,81.31,19555.02,0
151,4500,2,4,2,26,-1,-1,-1,-1,-1,-1,0,250.21,263.65,255.11,253.38,237.12,4538.96,264,256,254,238,254,0
152,20000,1,4,2,47,-1,-1,-1,-1,-1,-1,0,82.06,141.03,156.75,173.04,186.11,0,1672.77,500,500,500,500,0
153,7000,2,4,1,38,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,51.8,51.8,51.8,51.8,51.8,51.8,0
154,35000,2,4,1,48,-1,-1,-1,-1,-1,-1,0,16.68,82.32,76.28,0,0,115.28,24924.51,76.28,0,0,6610.07,0
155,21000,1,4,1,29,-1,-1,-1,-1,-1,-1,67.06,870.32,897.46,849.66,1045.6,668.71,19298.16,900,850,1046,670,415,0
156,15000,1,4,2,37,-1,-1,-1,-1,-1,-1,0,0,0,0,0,60.46,60.52,60.52,60.52,60.52,120.98,60.1,0
157,32000,1,4,2,35,-1,-1,-1,-1,-1,-1,84.7,18.42,1507.43,1485.55,1474.65,1411.28,19,35508,1486,1475,1412,1291,0
158,30000,2,4,2,38,-1,-1,-1,-1,-1,-1,75.13,76.26,76.39,76.52,76.65,76.78,78,77,77,77,77,75,0
159,21750,1,4,2,35,-1,-1,-1,-1,-1,-1,933.41,896.14,840.67,849.76,869.82,782.21,897,840.7,850,870,1360,1800,0
160,7000,1,4,2,30,-1,-1,-1,-1,-1,-1,228.1,16.24,0,53.43,53.63,35,17,6491.24,1154,1555,35,0,0
161,14000,2,4,1,36,-1,-1,-1,-1,-1,-1,0,629.1,651.74,658.21,598.55,294.17,12962.5,652,660,599,294.17,0,0
162,14000,2,4,2,25,-1,-1,-1,-1,-1,-1,0,186.49,666.72,541.08,299.58,119.17,186.49,13642.48,542,300,120,0,0
163,10500,2,4,2,43,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,12000,1,4,2,33,-1,-1,-1,-1,-1,-1,0,537.14,545.34,557.21,562.45,331.67,10888.28,550,700,565,332,0,0
165,14000,1,4,2,34,-1,-1,-1,-1,-1,-1,0,114.17,0,138.36,0,44.17,12569,0,5000,0,129,0,0
166,14000,1,4,2,26,-1,-1,-1,-1,0,0,59.29,59.36,59.43,0,0,0,59.5,59.5,0,0,0,0,0
167,35000,1,4,2,48,-1,1,-1,-1,0,0,0,106.32,53.15,0,0,0,107,54,0,0,0,0,0
168,21000,2,4,1,43,-1,1,-1,-1,0,0,66.21,134.14,67.06,0,0,0,135,0,0,0,0,0,0
169,5000,2,4,2,66,-1,-1,-1,-1,0,0,0,257.73,179.58,0,0,0,260,5180,0,0,0,0,0
170,21000,1,4,3,52,-1,-1,-1,-1,0,0,0,0,598.77,0,0,0,65,21598.77,0,0,0,0,0
171,10000,1,4,2,44,-1,-1,-1,-1,0,0,261.32,281.8,16,0,0,0,282,9016,10000,0,0,0,0
172,3000,2,4,2,31,-1,-1,-1,-1,0,0,63.32,57.88,47.44,0,0,0,58,48,0,0,0,0,0
173,1400,1,4,2,28,-1,-1,-1,-1,0,0,16.06,16.53,0,0,0,0,17,0,0,0,0,0,0
174,6000,2,4,2,44,-1,-1,-1,-1,0,0,50.6,49.88,44.17,0,0,0,50,45,0,0,0,0,0
175,10000,1,4,1,24,-1,-1,0,0,0,0,485.67,298.59,0,0,0,0,299,0,0,0,0,0,0
176,25000,2,4,1,40,-1,-1,0,0,0,0,1107.33,673.59,0,0,0,0,674,0,0,0,0,0,0
177,6000,1,4,2,39,-1,-1,0,0,0,0,323.05,198.59,0,0,0,0,300,0,0,0,0,0,0
178,14000,1,4,2,26,-1,-1,0,0,0,0,415.37,0,0,0,0,0,0,0,0,0,0,0,0
179,35000,1,4,2,54,-1,-1,0,0,0,0,419.17,0,0,0,0,0,0,0,0,0,0,0,0
180,35000,1,4,2,38,-1,-1,0,0,0,0,0,0,0,0,0,0,35045,0,0,0,0,0,0
